category,microservice,public_cluster,unit_type,unit_label,basic_cost_inr,standard_cost_inr,premium_cost_inr,basic_scope_notes,standard_scope_notes,premium_scope_notes,internal_pricing_note
UI/UX / Digital Experience,Design system / component library,Digital Experience,per_project,project,18000,35000,65000,Basic reusable style system.,Structured component library.,Premium scalable design system.,
UI/UX / Digital Experience,Developer handoff support,Digital Experience,per_project,project,10000,18000,32000,Basic handoff package.,Handoff plus review checkpoints.,Premium handoff plus QA reviews.,
Construction / Execution Support,Project consultation,Execution Support,per_meeting,60 min,2000,4000,7000,Basic project consultation.,Structured consultation with notes.,Premium consultation with decision roadmap.,
Construction / Execution Support,Scope definition,Execution Support,per_project,project,8000,15000,26000,Basic scope note.,Structured scope document.,Premium scope framework with exclusions and priorities.,
Construction / Execution Support,Tender package support,Execution Support,per_project,project,18000,32000,55000,Basic tender support.,Structured tender package prep.,Premium tender support with comparison framework.,
Construction / Execution Support,BOQ review,Execution Support,per_project,project,10000,18000,30000,Basic BOQ review.,Structured BOQ comments.,Premium BOQ review with recommendation notes.,
Construction / Execution Support,Material selection support,Execution Support,per_project,project,8000,15000,26000,Basic selection guidance.,Curated selection support.,Premium shortlist with decision logic.,
Construction / Execution Support,Site supervision visit,Execution Support,per_visit,visit,5000,9000,15000,One site review visit.,Visit plus comments.,Visit plus report and decision support.,
Construction / Execution Support,Contractor coordination,Execution Support,per_day,day,8000,15000,25000,Basic coordination day.,Structured coordination and notes.,Premium coordination with issue follow-up.,
Construction / Execution Support,Vendor coordination,Execution Support,per_day,day,5000,9000,16000,Basic vendor coordination.,Structured coordination day.,Premium follow-up and accountability support.,
Construction / Execution Support,Quality checklist support,Execution Support,per_project,project,7000,12000,20000,Basic checklist.,Structured quality checklist system.,Premium checklist plus review workflow.,
Construction / Execution Support,Progress review meeting,Execution Support,per_meeting,meeting,3000,6000,10000,Basic review meeting.,Review with notes and decisions.,Premium review with issue log and next-step summary.,
Construction / Execution Support,Execution timeline planning,Execution Support,per_project,project,10000,18000,30000,Basic timeline plan.,Structured milestone sequence.,Premium timeline with dependencies and risks.,
Construction / Execution Support,Billing verification support,Execution Support,per_bill_cycle,bill cycle,6000,12000,22000,Basic billing check.,Structured review with comments.,Premium detailed bill review with meeting.,
Advisory / Premium Thinking,Monthly design advisor retainer,Advisory,per_month,month,10000,22000,40000,2 calls/month.,4 calls/month + summary.,High-availability monthly design advisory.,
Advisory / Premium Thinking,Review calls,Advisory,per_call_pack,call pack,5000,10000,18000,2-call pack.,4-call pack.,Priority call pack with follow-up notes.,
Advisory / Premium Thinking,Concept critique,Advisory,per_review,review,5000,10000,18000,High-level critique.,Structured critique with notes.,Deep critique with action roadmap.,
Advisory / Premium Thinking,Site decision support,Advisory,per_visit,visit,5000,9000,15000,On-site decision support.,Structured decision support visit.,Premium decision support with follow-up note.,
Advisory / Premium Thinking,Vendor selection guidance,Advisory,per_project,project,8000,15000,26000,Basic shortlist guidance.,Structured vendor comparison.,Premium vendor evaluation support.,
Advisory / Premium Thinking,Client presentation support,Advisory,per_presentation,presentation,8000,15000,26000,Basic presentation support.,Structured presentation prep.,Premium support with narrative and review.,
Advisory / Premium Thinking,Design audit,Advisory,per_project,project,12000,22000,38000,Basic design audit.,Structured audit with recommendations.,Premium audit with roadmap and call.,
Advisory / Premium Thinking,Conversion audit for website,Advisory,per_project,project,12000,22000,38000,Basic conversion review.,Structured website conversion audit.,Premium audit with funnel improvements.,
Advisory / Premium Thinking,Brand improvement roadmap,Advisory,per_project,project,15000,28000,50000,Basic roadmap document.,Structured brand improvement plan.,Premium phased roadmap with priorities.,
Advisory / Premium Thinking,Content direction for photos/videos,Advisory,per_month,month,15000,30000,55000,Basic monthly direction notes.,Content direction plan and shot guidance.,Premium direction with review loops.,
AI / Automation Layer,AI chatbot planning,Automation,per_project,project,15000,30000,55000,Basic FAQ and bot scope.,Scenario mapping and routing.,Premium chatbot strategy with conversion logic.,
AI / Automation Layer,Lead qualification flow,Automation,per_project,project,18000,35000,65000,Basic qualification map.,Structured lead scoring flow.,Premium qualification logic with escalation paths.,
AI / Automation Layer,FAQ automation map,Automation,per_project,project,12000,22000,38000,Basic FAQ map.,Structured automated FAQ decision tree.,Premium FAQ architecture with routing logic.,
AI / Automation Layer,WhatsApp automation planning,Automation,per_project,project,18000,35000,65000,Basic WhatsApp flow map.,Structured branch logic and responses.,Premium qualification and escalation logic.,
AI / Automation Layer,AI voice workflow planning,Automation,per_project,project,35000,65000,120000,Basic voice workflow use-case.,Structured call flow and scripts.,Premium multi-scenario voice architecture.,
AI / Automation Layer,CRM inquiry routing logic,Automation,per_project,project,18000,32000,58000,Basic lead routing map.,Structured CRM stage logic.,"Premium routing, ownership, and follow-up design.",
AI / Automation Layer,Auto-response copy system,Automation,per_project,project,10000,18000,32000,Basic response templates.,Structured response library.,Premium brand-toned multi-scenario response system.,
AI / Automation Layer,Proposal automation planning,Automation,per_project,project,15000,28000,50000,Basic automation concept.,Structured proposal automation map.,Premium workflow with data and approval logic.,
