vertical,package_code,package_name,target_client,package_unit_type,basic_price_inr,standard_price_inr,premium_price_inr,basic_discount_pct,standard_discount_pct,premium_discount_pct,basic_service_names,standard_service_names,premium_service_names,basic_notes,standard_notes,premium_notes,upsell_trigger,public_visible,active
Landscape,PKG-LND-003,Terrace Landscape Package,Urban homes / hospitality terraces,per_package,12000,35150,116840,0,5,8,Terrace landscape concept,Terrace landscape concept | Lighting layout,Terrace landscape concept | Lighting layout | Outdoor seating design | Landscape 3D views | Irrigation concept support,Core terrace idea package.,Adds evening usability.,Adds visuals and practical irrigation logic.,Upsell to Full Landscape Package.,yes,yes
Graphic / Brand / Presentation,PKG-BRD-001,Brand Foundation Package,Small businesses entering structured branding,per_package,11400,61640,131400,5,8,10,Brand consultation | Color palette selection | Typography selection,Brand consultation | Logo refinement | Color palette selection | Typography selection | Brand guideline sheet,Brand consultation | Logo refinement | Color palette selection | Typography selection | Brand guideline sheet | Business card design | Letterhead / stationery,Foundational visual alignment.,Best-value starter brand system.,Adds practical business-use brand assets.,Upsell to Company Profile Package.,yes,yes
Graphic / Brand / Presentation,PKG-BRD-002,Profile & Pitch Package,B2B firms / labs / consultancies,per_package,20900,54280,133200,5,8,10,Company profile design | Presentation deck,Company profile design | Presentation deck | Proposal template,Company profile design | Presentation deck | Proposal template | Brochure design | Project sheet design,Great for first serious business presentation.,Adds reusable pitching utility.,Adds broader sales communication assets.,Upsell to Digital Authority Package.,yes,yes
Graphic / Brand / Presentation,PKG-BRD-003,Brand Visibility Package,Businesses needing sales collateral,per_package,13300,34040,75600,5,8,10,Social media template pack | Business card design | Letterhead / stationery,Social media template pack | Business card design | Letterhead / stationery | Signage concept,Social media template pack | Business card design | Letterhead / stationery | Signage concept | Hoarding / site board design,Basic visibility assets.,Adds location/space branding.,Adds outdoor communication scale.,Upsell to Full Brand System.,yes,yes
UI/UX / Digital Experience,PKG-DIG-001,Website Starter Package,Clients starting digital presence upgrade,per_package,31350,96600,206100,5,8,10,Website discovery | Sitemap planning | Homepage design,Website discovery | Sitemap planning | Information architecture | Homepage design | Service page design,Website discovery | Sitemap planning | Information architecture | UX wireframes | Homepage design | Service page design | Mobile UX optimization,Strong start for one core web presence.,Most balanced website starter package.,Adds UX depth and mobile polish.,Upsell to Conversion Package.,yes,yes
UI/UX / Digital Experience,PKG-DIG-002,Conversion Package,Lead-driven businesses,per_package,28500,64400,154800,5,8,10,Contact funnel design | CTA optimization | Form flow design,Contact funnel design | CTA optimization | Form flow design | WhatsApp integration planning,Contact funnel design | CTA optimization | Form flow design | WhatsApp integration planning | SEO-ready content structure,Improves direct inquiry flow.,Best-value lead capture package.,Adds stronger search-structure alignment.,Upsell to Digital Authority Package.,yes,yes
UI/UX / Digital Experience,PKG-DIG-003,Digital Authority Package,Established businesses wanting credibility and leads,per_package,49820,148500,430320,6,10,12,Website discovery | Sitemap planning | Homepage design | Service page design | Contact funnel design,Website discovery | Sitemap planning | Information architecture | UX wireframes | Homepage design | Service page design | Contact funnel design | CTA optimization | WhatsApp integration planning,Website discovery | Sitemap planning | Information architecture | UX wireframes | Homepage design | Service page design | Portfolio page design | Blog structure | Contact funnel design | CTA optimization | Mobile UX optimization | Form flow design | WhatsApp integration planning | SEO-ready content structure | Developer handoff support,Good digital revamp package.,Recommended package for serious business growth.,Full premium experience and conversion package.,Upsell to Design System / ongoing advisory.,yes,yes
UI/UX / Digital Experience,PKG-DIG-004,Website System Package,Scale-up businesses / productized firms,per_package,38000,95680,218700,5,8,10,Homepage design | Service page design | Portfolio page design,Homepage design | Service page design | Portfolio page design | Blog structure | Developer handoff support,Homepage design | Service page design | Portfolio page design | Blog structure | Design system / component library | Developer handoff support,Multi-page design pack.,Adds content and dev handoff support.,Adds system-level scalability.,Upsell to SEO and automation layers.,yes,yes
Construction / Execution Support,PKG-EXE-001,Inspection & Review Package,Site-stage residential clients,per_package,9500,31280,70200,5,8,10,Project consultation | Site supervision visit | Progress review meeting,Project consultation | Scope definition | Site supervision visit | Progress review meeting,Project consultation | Scope definition | Site supervision visit | Progress review meeting | Quality checklist support,Basic site-stage support.,Adds scope clarity.,Adds quality-control thinking.,Upsell to Coordination Package.,yes,yes
Construction / Execution Support,PKG-EXE-002,Coordination Package,Clients managing contractors/vendors,per_package,12350,38640,83700,5,8,10,Contractor coordination | Vendor coordination,Contractor coordination | Vendor coordination | Execution timeline planning,Contractor coordination | Vendor coordination | Execution timeline planning | Billing verification support,Basic coordination support.,Better execution discipline.,Adds financial and timeline oversight.,Upsell to Full Execution Advisory.,yes,yes
Construction / Execution Support,PKG-EXE-003,Tender & BOQ Package,Clients entering contractor selection phase,per_package,26600,59800,123300,5,8,10,Tender package support | BOQ review,Tender package support | BOQ review | Material selection support,Tender package support | BOQ review | Material selection support | Scope definition,Tender and BOQ essentials.,Adds smarter material decisions.,Adds stronger commercial clarity.,Upsell to Coordination Package.,yes,yes
Advisory / Premium Thinking,PKG-ADV-001,Monthly Advisory Package,Clients needing ongoing expert input,per_package,10000,39900,107640,0,5,8,Monthly design advisor retainer,Monthly design advisor retainer | Review calls | Concept critique,Monthly design advisor retainer | Review calls | Concept critique | Site decision support | Client presentation support,Light monthly strategic support.,Best-value advisory package.,Premium high-touch advisory system.,Upsell to Design Audit / roadmap.,yes,yes
Advisory / Premium Thinking,PKG-ADV-002,Audit & Improvement Package,Businesses/design clients needing clarity,per_package,12000,47500,166520,0,5,8,Design audit,Design audit | Brand improvement roadmap,Design audit | Brand improvement roadmap | Conversion audit for website | Content direction for photos/videos,Independent audit package.,Adds prioritized brand improvement path.,Adds website and content growth layer.,Upsell to Digital Authority or Brand Package.,yes,yes
AI / Automation Layer,PKG-AUT-001,WhatsApp Automation Starter,Businesses wanting faster response systems,per_package,28500,84640,232200,5,8,10,FAQ automation map | WhatsApp automation planning,Lead qualification flow | FAQ automation map | WhatsApp automation planning,Lead qualification flow | FAQ automation map | WhatsApp automation planning | CRM inquiry routing logic | Auto-response copy system,Starter automation layer for WhatsApp-first businesses.,Adds qualification logic.,Adds CRM and messaging depth.,Upsell to AI Voice / proposal automation.,yes,yes
AI / Automation Layer,PKG-AUT-002,AI Lead System Package,Lead-heavy service businesses,per_package,31350,89240,234000,5,8,10,AI chatbot planning | Lead qualification flow,AI chatbot planning | Lead qualification flow | CRM inquiry routing logic,AI chatbot planning | Lead qualification flow | CRM inquiry routing logic | Auto-response copy system | Proposal automation planning,Good first automation step beyond forms.,Adds backend lead-routing discipline.,Adds proposal and communication automation.,Upsell to AI Voice Workflow Package.,yes,yes
AI / Automation Layer,PKG-AUT-003,AI Voice Workflow Package,Premium automation clients,per_package,35000,95000,269560,0,5,8,AI voice workflow planning,AI voice workflow planning | Lead qualification flow,AI voice workflow planning | Lead qualification flow | CRM inquiry routing logic | Proposal automation planning,High-value voice planning entry package.,Adds stronger qualification architecture.,Adds broader pipeline integration.,Upsell to full automation implementation via partners.,yes,yes
